,Arrival Standard Deviation,Departure Standard Deviation,capa_sd
0,2.33732817860402,2.2735883917215967,1.7741166979116423
1,2.4254607411845215,3.8076324722080552,2.851940295981722
2,2.4883352244352914,3.41485013964837,2.5786488498519984
3,2.627752258481378,3.3516202500153067,2.5445290558407674
4,2.8043149318708154,3.7003399607129044,2.8020333863470515
5,2.98316887132598,4.206480748842336,3.170683812938552
6,3.1052768286350134,4.1885713488734355,3.16670950043115
7,3.2210789990329465,4.30957682177639,3.260082763527405
8,3.4254195229264885,4.259198654837225,3.240173766394102
9,3.5597582804065655,4.341772034372476,3.30831963292759
10,3.8382072673864527,4.67136337468297,3.560111063518641
11,3.9596947728046303,4.858022298490542,3.6998479978530074
12,4.067321277922502,4.87800938140512,3.7223342765163583
13,4.178433569683512,4.916128955292365,3.7578535407691356
14,4.2223274901272125,4.916128955292365,3.761459997717901
15,4.294730648417849,5.1427333989424575,3.924878332188545
16,4.33362351327095,5.259595699353134,4.009371505396862
17,4.358518513248433,5.310087908201129,4.04653575661444
18,4.390699205674946,5.375657976295965,4.094792980397507
19,4.417244850450418,5.380057299901144,4.099958342673327
20,4.462458964151958,5.513640819214278,4.196683445554177
21,4.555705284851474,5.523584015871567,4.210972285146241
22,4.577196907043015,5.639290929468029,4.293342779129955
23,4.66045214717381,5.66038779841309,4.314623557633939
24,4.712587532474823,5.67328460454733,4.327765482397616
25,4.763809755232198,5.719918605539926,4.3643404325174195
26,4.838246812589681,5.729060914520527,4.376714414841393
27,4.913644627980567,5.755084869236394,4.400960033687567
28,4.999272573432252,5.789275064034985,4.431763528964003
29,5.0624874395582635,5.873139023352596,4.495199436222563
30,5.127283383669129,5.9226726311649305,4.534945528033392
31,5.196595166879393,5.9226726311649305,4.540743902713409
32,5.295365414395272,5.954928476304254,4.5714405846843675
33,5.335477652638553,5.9974058402237125,4.604248678094781
34,5.3562294979120795,6.137584680208625,4.703081785207198
35,5.3989105669219,6.221331709448451,4.764715017347761
36,5.406782678805022,6.259401135849571,4.791778551077708
37,5.469507076627936,6.268657471594736,4.80342681805569
38,5.488776832212908,6.291371525850332,4.820785768305491
39,5.495791793958446,6.359697342546881,4.868755704028418
40,5.4980924142204035,6.396571435803438,4.894536888239913
41,5.503731003929479,6.4216272067067175,4.912397484882742
42,5.503731003929479,6.423621022855996,4.913781930206927
43,5.503731003929479,6.423621022855996,4.913781930206927
44,5.503731003929479,6.423621022855996,4.913781930206927
45,5.503731003929479,6.423621022855996,4.913781930206927
46,5.503731003929479,6.423621022855996,4.913781930206927
47,5.503731003929479,6.423621022855996,4.913781930206927
48,5.503731003929479,6.423621022855996,4.913781930206927
49,5.503731003929479,6.423621022855996,4.913781930206927
50,5.503731003929479,6.423621022855996,4.913781930206927
51,5.503731003929479,6.423621022855996,4.913781930206927
52,5.503731003929479,6.423621022855996,4.913781930206927
53,5.503731003929479,6.423621022855996,4.913781930206927
54,5.503731003929479,6.423621022855996,4.913781930206927
55,5.503731003929479,6.423621022855996,4.913781930206927
56,5.503731003929479,6.423621022855996,4.913781930206927
57,5.503731003929479,6.423621022855996,4.913781930206927
58,5.503731003929479,6.423621022855996,4.913781930206927
59,5.503731003929479,6.423621022855996,4.913781930206927
60,5.503731003929479,6.423621022855996,4.913781930206927
61,5.503731003929479,6.423621022855996,4.913781930206927
62,5.503731003929479,6.423621022855996,4.913781930206927
63,5.503731003929479,6.423621022855996,4.913781930206927
64,5.503731003929479,6.423621022855996,4.913781930206927
65,5.503731003929479,6.423621022855996,4.913781930206927
66,5.503731003929479,6.423621022855996,4.913781930206927
67,5.503731003929479,6.423621022855996,4.913781930206927
68,5.503731003929479,6.423621022855996,4.913781930206927
69,5.503731003929479,6.423621022855996,4.913781930206927
70,5.503731003929479,6.423621022855996,4.913781930206927
71,5.503731003929479,6.423621022855996,4.913781930206927
72,5.503731003929479,6.423621022855996,4.913781930206927
73,5.503731003929479,6.423621022855996,4.913781930206927
74,5.503731003929479,6.423621022855996,4.913781930206927
75,5.503731003929479,6.423621022855996,4.913781930206927
76,5.503731003929479,6.423621022855996,4.913781930206927
77,5.503731003929479,6.423621022855996,4.913781930206927
78,5.503731003929479,6.423621022855996,4.913781930206927
79,5.503731003929479,6.423621022855996,4.913781930206927
80,5.503731003929479,6.423621022855996,4.913781930206927
